                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.9744,                0.56255,                 1.0683,                  0.989,                0.98472,                0.98746,                0.75489,                    nan,                    nan,                    nan,              0.0010894,              0.0010894,              0.0010894
                     38,                0.98789,                0.55368,                 1.0723,                0.99069,                0.98098,                0.98994,                0.74733,                    nan,                    nan,                    nan,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.9608,                0.54976,                 1.0688,                0.98526,                0.98271,                0.98821,                0.74399,                    nan,                    nan,                    nan,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.9439,                0.54659,                 1.0615,                0.98539,                0.97315,                0.99001,                0.74554,                    nan,                    nan,                    nan,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.9583,                 0.5326,                 1.0609,                0.99197,                0.97924,                0.99086,                 0.7513,                    nan,                    nan,                    nan,              0.0010234,              0.0010234,              0.0010234
                     42,                0.95667,                 0.5202,                 1.0606,                0.99417,                 0.9762,                0.98599,                0.73601,                    nan,                    nan,                    nan,              0.0010069,              0.0010069,              0.0010069
                     43,                0.93356,                0.52665,                 1.0594,                0.99218,                0.97839,                0.98725,                0.75745,                    nan,                    nan,                    nan,             0.00099036,             0.00099036,             0.00099036
                     44,                0.96408,                0.52571,                 1.0598,                0.99038,                0.98058,                0.98758,                 0.7614,                    nan,                    nan,                    nan,             0.00097386,             0.00097386,             0.00097386
                     45,                0.94449,                0.53409,                 1.0533,                0.98947,                0.97896,                0.98701,                0.74515,                    nan,                    nan,                    nan,             0.00095736,             0.00095736,             0.00095736
                     46,                0.93768,                0.51641,                 1.0535,                0.99434,                0.98132,                0.98728,                0.74361,                    nan,                    nan,                    nan,             0.00094085,             0.00094085,             0.00094085
                     47,                0.93578,                0.52041,                 1.0635,                0.99362,                0.97924,                0.98681,                0.74323,                    nan,                    nan,                    nan,             0.00092435,             0.00092435,             0.00092435
                     48,                0.93635,                0.51579,                   1.05,                0.98747,                0.98354,                0.98681,                0.74796,                    nan,                    nan,                    nan,             0.00090785,             0.00090785,             0.00090785
                     49,                0.93725,                 0.5203,                  1.044,                0.99403,                0.97715,                0.98721,                0.74575,                    nan,                    nan,                    nan,             0.00089134,             0.00089134,             0.00089134
                     50,                0.94486,                0.50859,                 1.0535,                0.99234,                0.97507,                0.98755,                0.75707,                    nan,                    nan,                    nan,             0.00087484,             0.00087484,             0.00087484
                     51,                0.91988,                0.50853,                 1.0375,                0.98815,                0.97787,                0.98666,                0.75242,                    nan,                    nan,                    nan,             0.00085834,             0.00085834,             0.00085834
                     52,                0.92379,                0.51905,                 1.0422,                0.99727,                0.97924,                0.98779,                0.75625,                    nan,                    nan,                    nan,             0.00084184,             0.00084184,             0.00084184
                     53,                0.92301,                0.50948,                 1.0477,                0.99542,                0.97685,                0.98693,                0.74932,                    nan,                    nan,                    nan,             0.00082533,             0.00082533,             0.00082533
                     54,                0.89513,                0.49853,                 1.0347,                0.99321,                0.97858,                0.98736,                0.75762,                    nan,                    nan,                    nan,             0.00080883,             0.00080883,             0.00080883
                     55,                0.91885,                0.49558,                 1.0424,                0.99367,                0.97432,                0.98717,                0.75547,                    nan,                    nan,                    nan,             0.00079233,             0.00079233,             0.00079233
                     56,                0.89397,                0.48475,                 1.0264,                0.97725,                0.97342,                0.98672,                 0.7522,                    nan,                    nan,                    nan,             0.00077582,             0.00077582,             0.00077582
                     57,                0.91305,                0.49574,                 1.0357,                0.99215,                0.98132,                0.98829,                0.75492,                    nan,                    nan,                    nan,             0.00075932,             0.00075932,             0.00075932
                     58,                0.89473,                0.48573,                  1.044,                  0.991,                0.97848,                0.98687,                0.75932,                    nan,                    nan,                    nan,             0.00074282,             0.00074282,             0.00074282
                     59,                 0.9086,                0.50772,                 1.0413,                0.98953,                0.98443,                0.98757,                0.75754,                    nan,                    nan,                    nan,             0.00072631,             0.00072631,             0.00072631
                     60,                0.89202,                0.48846,                 1.0385,                0.99122,                0.98548,                0.98813,                 0.7565,                    nan,                    nan,                    nan,             0.00070981,             0.00070981,             0.00070981
                     61,                0.88674,                0.47637,                 1.0223,                0.98738,                0.97761,                0.98722,                0.76471,                    nan,                    nan,                    nan,             0.00069331,             0.00069331,             0.00069331
                     62,                 0.8765,                0.46786,                 1.0215,                0.99082,                0.97924,                0.98736,                0.75733,                    nan,                    nan,                    nan,              0.0006768,              0.0006768,              0.0006768
                     63,                0.88238,                0.47181,                  1.019,                0.99156,                0.97935,                0.98835,                0.75775,                    nan,                    nan,                    nan,              0.0006603,              0.0006603,              0.0006603
                     64,                0.86436,                0.48429,                 1.0229,                0.99369,                0.97924,                 0.9866,                0.76151,                    nan,                    nan,                    nan,              0.0006438,              0.0006438,              0.0006438
                     65,                0.84421,                0.45488,                 1.0168,                0.99075,                0.98194,                0.98704,                0.76152,                    nan,                    nan,                    nan,             0.00062729,             0.00062729,             0.00062729
                     66,                0.86819,                0.46314,                 1.0216,                0.99042,                 0.9834,                0.98735,                 0.7617,                    nan,                    nan,                    nan,             0.00061079,             0.00061079,             0.00061079
                     67,                0.84289,                0.45494,                 1.0049,                0.99787,                0.98259,                0.98724,                0.76893,                    nan,                    nan,                    nan,             0.00059429,             0.00059429,             0.00059429
                     68,                0.85956,                0.46501,                  1.017,                0.99338,                0.97964,                0.98718,                0.76044,                    nan,                    nan,                    nan,             0.00057778,             0.00057778,             0.00057778
                     69,                0.87286,                0.46356,                 1.0256,                0.98996,                0.98132,                0.98731,                0.76815,                    nan,                    nan,                    nan,             0.00056128,             0.00056128,             0.00056128
                     70,                0.85197,                0.46129,                 1.0193,                0.99855,                 0.9765,                0.98592,                0.76233,                    nan,                    nan,                    nan,             0.00054478,             0.00054478,             0.00054478
                     71,                0.84389,                0.44443,                 1.0179,                0.99974,                0.97924,                0.98716,                0.76768,                    nan,                    nan,                    nan,             0.00052827,             0.00052827,             0.00052827
