                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.9085,                 1.1324,                0.94163,                0.92261,                0.78055,                0.82269,                0.34609,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                 1.9276,                 1.0953,                0.93861,                0.90783,                0.76219,                0.81728,                0.35499,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.9023,                 1.1059,                0.93472,                 0.9273,                0.83517,                 0.8816,                0.37236,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9181,                 1.1174,                0.95078,                0.87522,                0.79762,                0.82749,                0.33717,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.8388,                 1.0692,                0.93256,                0.83954,                0.81548,                0.81779,                 0.3265,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.907,                 1.0745,                0.93477,                 0.9255,                0.81338,                0.88119,                 0.3777,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     43,                 1.8424,                 1.0411,                0.93131,                0.87722,                0.76548,                0.81364,                0.35118,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8481,                 1.0635,                0.91574,                0.90588,                0.80209,                0.83744,                0.34708,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     45,                  1.847,                 1.0405,                0.92371,                0.91479,                0.83072,                0.86431,                0.37403,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     46,                  1.803,                 1.0221,                 0.9168,                0.87674,                0.80443,                0.83776,                0.35031,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.8305,                 1.0053,                0.92967,                0.90809,                0.80357,                0.85865,                  0.387,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     48,                 1.8319,                 1.0164,                0.92591,                0.92265,                0.80952,                0.87335,                0.38181,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
